
(93, 2, '115', '100.0', 910, 2, 0, '02  DE   ENERO   2021', '1075', 'Almacen', '2', '3', '250 B.RCT')

(94, 2, '115', '130.0', 1260, 2, 0, '03  DE   ENERO   2021', '1075', 'Almacen', '4', '1', '250.0')
(95, 2, '115', '100.0', 955, 2, 0, '03  DE   ENERO   2021', '1075', 'Almacen', '4', '1', '250.0')
(96, 2, '115', '150.0', 1495, 2, 0, '03  DE   ENERO   2021', '1075', 'Almacen', '4', '1', '250.0')
(97, 2, '115', '90.0', 885, 2, 0, '03  DE   ENERO   2021', '1075', 'Almacen', '4', '1', '250.0')
(98, 2, '115', '150.0', 1450, 2, 0, '03  DE   ENERO   2021', '1075', 'Almacen', '4', '1', '250 B.RCT')
(99, 2, '115', '90.0', 870, 2, 0, '03  DE   ENERO   2021', '1075', 'Almacen', '4', '1', '250 B.RCT')
(100, 2, '115', '150.0', 1400, 2, 0, '03  DE   ENERO   2021', '1075', 'Almacen', '4', '1', '250.0')
(101, 2, '115', '90.0', 835, 2, 0, '03  DE   ENERO   2021', '1075', 'Almacen', '4', '1', '250.0')
(102, 2, '115', '150.0', 1500, 2, 0, '03  DE   ENERO   2021', '1075', 'Almacen', '4', '1', '250.0')
(103, 2, '115', '90.0', 885, 2, 0, '03  DE   ENERO   2021', '1075', 'Almacen', '4', '1', '250.0')
(104, 2, '115', '150.0', 1390, 2, 1, '03  DE   ENERO   2021', '1075', 'Almacen', '4', '1', '250 B.RCT')
(105, 2, '115', '90.0', 825, 2, 1, '03  DE   ENERO   2021', '1075', 'Almacen', '4', '1', '250 B.RCT')
(106, 2, '115', '207.0', 2005, 2, 0, '03  DE   ENERO   2021', '1002', 'Almacen', '4', '1', '250 B.RCT')
(107, 2, '115', '207.0', 2020, 2, 0, '03  DE   ENERO   2021', '1002', 'Almacen', '4', '1', '250 B.RCT')
(108, 2, '115', '207.0', 2065, 2, 0, '03  DE   ENERO   2021', '1002', 'Almacen', '4', '1', '250 B.RCT')
(109, 2, '115', '207.0', 1870, 2, 0, '03  DE   ENERO   2021', '1002', 'Almacen', '4', '1', '250 B.RCT')
(110, 2, '115', '207.0', 2030, 2, 0, '03  DE   ENERO   2021', '1002', 'Almacen', '4', '1', '250.0')
(111, 2, '115', '207.0', 1965, 2, 0, '03  DE   ENERO   2021', '1002', 'Almacen', '4', '1', '250.0')
(112, 2, '115', '207.0', 1940, 2, 0, '03  DE   ENERO   2021', '1002', 'Almacen', '4', '1', '250.0')
(113, 2, '115', '207.0', 2020, 2, 0, '03  DE   ENERO   2021', '1002', 'Almacen', '4', '1', '250.0')
(114, 2, '115', '207.0', 1970, 2, 0, '03  DE   ENERO   2021', '1002', 'Almacen', '4', '1', '250.0')

(115, 2, '115', '207.0', 2060, 2, 0, '03  DE   ENERO   2021', '1002', 'Almacen', '3', '2', '250.0')
(116, 2, '115', '207.0', 1955, 2, 0, '03  DE   ENERO   2021', '1002', 'Almacen', '3', '2', '250.0')
(117, 2, '115', '207.0', 1980, 2, 0, '03  DE   ENERO   2021', '1002', 'Almacen', '3', '2', '250.0')
(118, 2, '115', '207.0', 1995, 2, 1, '03  DE   ENERO   2021', '1002', 'Almacen', '3', '2', '250.0')
(119, 2, '115', '207.0', 2010, 2, 0, '03  DE   ENERO   2021', '1002', 'Almacen', '3', '2', '250.0')
(120, 2, '115', '200.0', 2045, 2, 0, '03  DE   ENERO   2021', '1050', 'Almacen', '3', '2', '250.0')
(121, 2, '115', '200.0', 1995, 2, 0, '03  DE   ENERO   2021', '1050', 'Almacen', '3', '2', '250.0')
(122, 2, '115', '200.0', 1970, 2, 0, '03  DE   ENERO   2021', '1050', 'Almacen', '3', '2', '250.0')
(123, 2, '115', '200.0', 2025, 2, 0, '03  DE   ENERO   2021', '1050', 'Almacen', '3', '2', '250.0')
(124, 2, '115', '200.0', 1990, 2, 0, '03  DE   ENERO   2021', '1050', 'Almacen', '3', '2', '250.0')
(125, 2, '115', '200.0', 1920, 2, 0, '03  DE   ENERO   2021', '1050', 'Almacen', '3', '2', '250.0')
(126, 2, '115', '200.0', 1920, 2, 0, '03  DE   ENERO   2021', '1050', 'Almacen', '3', '2', '250.0')
(127, 2, '115', '200.0', 1940, 2, 0, '03  DE   ENERO   2021', '1050', 'Almacen', '3', '2', '250.0')
(128, 2, '115', '200.0', 1960, 2, 0, '03  DE   ENERO   2021', '1050', 'Almacen', '3', '2', '250.0')
(129, 2, '115', '200.0', 1950, 2, 1, '03  DE   ENERO   2021', '1050', 'Almacen', '3', '2', '250.0')

(130, 2, '115', '200.0', 1865, 2, 0, '03  DE   ENERO   2021', '1050', 'Almacen', '2', '3', '250.0')
(131, 2, '115', '200.0', 1910, 2, 0, '03  DE   ENERO   2021', '1050', 'Almacen', '2', '3', '250.0')
(132, 2, '115', '200.0', 1925, 2, 0, '03  DE   ENERO   2021', '1050', 'Almacen', '2', '3', '250.0')
(133, 2, '115', '200.0', 1805, 2, 0, '03  DE   ENERO   2021', '1050', 'Almacen', '2', '3', '250.0')
(134, 2, '120', '80.0', 630, 2, 0, '03  DE   ENERO   2021', '0', 'Almacen', '2', '3', '250 DFE')
(135, 2, '120', '155.0', 1235, 2, 0, '03  DE   ENERO   2021', '1138', 'Almacen', '2', '3', '250 DFE')
(136, 2, '120', '80.0', 725, 2, 0, '03  DE   ENERO   2021', '0', 'Almacen', '2', '3', '250.0')
(137, 2, '120', '155.0', 1440, 2, 0, '03  DE   ENERO   2021', '1138', 'Almacen', '2', '3', '250.0')
(138, 2, '120', '80.0', 730, 2, 0, '03  DE   ENERO   2021', '0', 'Almacen', '2', '3', '250.0')
(139, 2, '120', '155.0', 1450, 2, 0, '03  DE   ENERO   2021', '1138', 'Almacen', '2', '3', '250.0')
(140, 2, '120', '80.0', 755, 2, 0, '03  DE   ENERO   2021', '0', 'Almacen', '2', '3', '250.0')
(141, 2, '120', '155.0', 1490, 2, 0, '03  DE   ENERO   2021', '1138', 'Almacen', '2', '3', '250.0')
(142, 2, '120', '80.0', 725, 2, 0, '03  DE   ENERO   2021', '0', 'Almacen', '2', '3', '250 B.RCT')
(143, 2, '120', '155.0', 1440, 2, 0, '03  DE   ENERO   2021', '1138', 'Almacen', '2', '3', '250 B.RCT')
(144, 2, '120', '80.0', 735, 2, 0, '03  DE   ENERO   2021', '0', 'Almacen', '2', '3', '250 B.RCT')
(145, 2, '120', '155.0', 1435, 2, 0, '03  DE   ENERO   2021', '1138', 'Almacen', '2', '3', '250 B.RCT')
(146, 2, '120', '80.0', 680, 2, 1, '03  DE   ENERO   2021', '0', 'Almacen', '2', '3', '250 DFE')
(147, 2, '120', '155.0', 1350, 2, 1, '03  DE   ENERO   2021', '1138', 'Almacen', '2', '3', '250 DFE')
(148, 2, '120', '80.0', 725, 2, 0, '03  DE   ENERO   2021', '0', 'Almacen', '2', '3', '250.0')
(149, 2, '120', '155.0', 1440, 2, 0, '03  DE   ENERO   2021', '1138', 'Almacen', '2', '3', '250.0')
(150, 2, '120', '80.0', 735, 2, 0, '03  DE   ENERO   2021', '0', 'Almacen', '2', '3', '250 V.Par')
(151, 2, '120', '155.0', 1485, 2, 0, '03  DE   ENERO   2021', '1138', 'Almacen', '2', '3', '250 V.Par')
(152, 2, '120', '80.0', 745, 2, 0, '03  DE   ENERO   2021', '0', 'Almacen', '2', '3', '250.0')
(153, 2, '120', '155.0', 1420, 2, 0, '03  DE   ENERO   2021', '1138', 'Almacen', '2', '3', '250.0')

(154, 2, '120', '80.0', 715, 2, 0, '04  DE   ENERO   2021', '0', 'Almacen', '4', '1', '250.0')
(155, 2, '120', '150.0', 1370, 2, 0, '04  DE   ENERO   2021', '1138', 'Almacen', '4', '1', '250.0')
(156, 2, '120', '80.0', 740, 2, 0, '04  DE   ENERO   2021', '0', 'Almacen', '4', '1', '250.0')
(157, 2, '120', '150.0', 1430, 2, 0, '04  DE   ENERO   2021', '1138', 'Almacen', '4', '1', '250.0')
(158, 2, '120', '80.0', 710, 2, 0, '04  DE   ENERO   2021', '0', 'Almacen', '4', '1', '250.0')
(159, 2, '120', '150.0', 1360, 2, 0, '04  DE   ENERO   2021', '1138', 'Almacen', '4', '1', '250.0')
(160, 2, '120', '80.0', 755, 2, 0, '04  DE   ENERO   2021', '0', 'Almacen', '4', '1', '250.0')
(161, 2, '120', '150.0', 1430, 2, 0, '04  DE   ENERO   2021', '1138', 'Almacen', '4', '1', '250.0')
(162, 2, '120', '80.0', 755, 2, 0, '04  DE   ENERO   2021', '0', 'Almacen', '4', '1', '250.0')
(163, 2, '120', '150.0', 1440, 2, 0, '04  DE   ENERO   2021', '1138', 'Almacen', '4', '1', '250.0')
(164, 2, '120', '80.0', 770, 2, 0, '04  DE   ENERO   2021', '0', 'Almacen', '4', '1', '250.0')
(165, 2, '120', '150.0', 1475, 2, 0, '04  DE   ENERO   2021', '1138', 'Almacen', '4', '1', '250 MBC')
(166, 2, '120', '80.0', 755, 2, 0, '04  DE   ENERO   2021', '0', 'Almacen', '4', '1', '250 MBC')
(167, 2, '120', '150.0', 1445, 2, 0, '04  DE   ENERO   2021', '1138', 'Almacen', '4', '1', '250.0')
(168, 2, '120', '80.0', 765, 2, 0, '04  DE   ENERO   2021', '0', 'Almacen', '4', '1', '250.0')
(169, 2, '120', '150.0', 1460, 2, 0, '04  DE   ENERO   2021', '1138', 'Almacen', '4', '1', '250.0')
(170, 2, '120', '80.0', 745, 2, 0, '04  DE   ENERO   2021', '0', 'Almacen', '4', '1', '250.0')
(171, 2, '120', '150.0', 1440, 2, 0, '04  DE   ENERO   2021', '1138', 'Almacen', '4', '1', '250 MBC')
(172, 2, '120', '80.0', 750, 2, 0, '04  DE   ENERO   2021', '0', 'Almacen', '4', '1', '250.0')
(173, 2, '120', '150.0', 1435, 2, 0, '04  DE   ENERO   2021', '1138', 'Almacen', '4', '1', '250.0')
(174, 2, '120', '90.0', 840, 2, 1, '04  DE   ENERO   2021', '0', 'Almacen', '4', '1', '250.0')
(175, 2, '120', '160.0', 1530, 2, 1, '04  DE   ENERO   2021', '1138', 'Almacen', '4', '1', '250.0')
(176, 2, '120', '90.0', 815, 2, 0, '04  DE   ENERO   2021', '0', 'Almacen', '4', '1', '250 B.RCT')
(177, 2, '120', '160.0', 1495, 2, 0, '04  DE   ENERO   2021', '1138', 'Almacen', '4', '1', '250 B.RCT')
